iter	Passed	Remaining
618	16467	10135
619	16497	10111
620	16522	10083
621	16547	10056
622	16569	10027
623	16598	10001
624	16622	9973
625	16648	9946
626	16671	9917
627	16694	9888
628	16719	9861
629	16740	9831
630	16762	9802
631	16784	9773
632	16808	9745
633	16833	9717
634	16857	9689
635	16887	9665
636	16922	9643
637	16956	9621
638	16982	9593
639	17011	9569
640	17037	9542
641	17063	9514
642	17090	9488
643	17113	9460
644	17141	9434
645	17172	9410
646	17202	9385
647	17228	9358
648	17253	9331
649	17280	9304
650	17306	9277
651	17331	9250
652	17357	9223
653	17381	9195
654	17407	9169
655	17431	9140
656	17457	9113
657	17483	9087
658	17509	9060
659	17532	9032
660	17557	9004
661	17582	8977
662	17608	8950
663	17633	8923
664	17657	8895
665	17682	8867
666	17708	8841
667	17734	8813
668	17756	8785
669	17781	8758
670	17805	8730
671	17830	8702
672	17854	8675
673	17881	8648
674	17903	8620
675	17928	8593
676	17955	8566
677	17979	8538
678	18005	8512
679	18032	8486
680	18057	8458
681	18084	8432
682	18109	8405
683	18133	8377
684	18156	8349
685	18181	8322
686	18205	8294
687	18227	8266
688	18253	8239
689	18280	8213
690	18304	8185
691	18330	8158
692	18353	8130
693	18378	8103
694	18404	8076
695	18428	8049
696	18452	8021
697	18478	7995
698	18509	7970
699	18535	7943
700	18559	7916
701	18583	7888
702	18606	7860
703	18629	7833
704	18656	7806
705	18679	7778
706	18701	7750
707	18726	7723
708	18748	7695
709	18775	7669
710	18799	7641
711	18821	7613
712	18844	7585
713	18871	7559
714	18894	7531
715	18920	7504
716	18946	7478
717	18972	7451
718	18997	7424
719	19021	7397
720	19046	7370
721	19070	7342
722	19096	7316
723	19119	7288
724	19144	7261
725	19181	7239
726	19209	7213
727	19234	7186
728	19259	7159
729	19283	7132
730	19314	7107
731	19341	7081
732	19366	7054
733	19390	7026
734	19414	6999
735	19440	6973
736	19465	6946
737	19489	6919
738	19512	6891
739	19534	6863
740	19557	6835
741	19587	6810
742	19611	6783
743	19634	6755
744	19658	6728
745	19682	6701
746	19709	6675
747	19736	6649
748	19763	6622
749	19791	6597
750	19816	6570
751	19841	6543
752	19869	6517
753	19893	6490
754	19918	6463
755	19942	6436
756	19971	6411
